OpportunityID	PartyID	EmployeeID	SourceID	AdTypeID	StageID	StatusID	CategoryID	InterestedProduct	ExpectedValue	Location	FirstContactDate	NextFollowUpDate	LastContactDate	LostReasonID	LostNotes	Notes	Guidance	QuotationID	TransactionID	IsActive	CreatedBy	CreatedAt	LastUpdatedBy	LastUpdatedAt
111	168	21	1	4	3	2	9	الشقه الشقة كلها			11/12/2025		12/27/2025 11:02:10 PM							-1	mmagdy	12/21/2025 8:21:27 PM	mmagdy	12/27/2025 11:02:10 PM
28	83	17	1	2	4	1					12/4/2025 1:49:07 AM		12/14/2025 1:56:04 AM	8		لا شكرا انا تواصلت معاكو بالغلط انا كنت بدور على مراتب				-1	aly	12/14/2025 1:49:07 AM	mariam	12/14/2025 1:56:04 AM
19	75	17	1	1	1	1	2				12/4/2025 1:51:36 AM	12/5/2025				اسعار السفر ومده الضمان				-1	aly	12/11/2025 1:51:36 AM		
20	76	17	1	1	1	1					12/4/2025 1:53:00 AM	12/5/2025				المكان				-1	aly	12/11/2025 1:53:00 AM		
21	77	17	1	1	1	1					12/4/2025 1:54:47 AM	12/5/2025				الكتالوج				-1	aly	12/11/2025 1:54:47 AM		
22	78	17	1	1	1	1					12/4/2025 1:56:12 AM	12/5/2025				كتالوج				-1	aly	12/11/2025 1:56:12 AM		
30	85	17	1	2	4	2					12/4/2025 2:20:17 AM		12/5/2025 2:22:10 AM	2	شكرا انا اشتريت خلاص	شكرا انا اشتريت خلاص	شكرا انا اشتريت خلاص - مريم			-1	aly	12/14/2025 2:20:17 AM	mariam	12/14/2025 2:22:10 AM
23	79	17	1	1	1	1					12/4/2025 2:45:01 AM	12/5/2025				الاسعار والتفاصيل				-1	aly	12/12/2025 2:45:01 AM		
24	80	17	1	1	4	2	3				12/4/2025 2:46:58 AM	12/5/2025	12/12/2025 2:48:35 AM			اسعاركو عاليه شكرا	مريم			-1	aly	12/12/2025 2:46:58 AM	admin	12/12/2025 2:48:35 AM
34	89	17	1	2	2	2	3	انتريه			12/4/2025 2:56:39 AM	12/5/2025	12/5/2025 2:58:13 AM			كنت محتاجه موديل معين ممكن تبعتولى تانى واتس اب				-1	aly	12/14/2025 2:56:39 AM	aly	12/14/2025 2:58:13 AM
36	91	17	1	2	4	2	1	غرفة نوم			12/4/2025 3:02:43 AM	12/5/2025	12/5/2025 3:04:09 AM	1		السعر غالى عليها جدا	مريم			-1	aly	12/14/2025 3:02:43 AM	mariam	12/14/2025 3:04:09 AM
25	81	17	1	1	1	1					12/4/2025 3:21:20 AM	12/5/2025				كتالوج				-1	aly	12/12/2025 3:21:20 AM		
26	82	17	1	2	1	1					12/4/2025 3:25:59 AM	12/5/2025				كتالوج	ارسال كتالوج على الواتس للعميل			-1	aly	12/12/2025 3:25:59 AM		
27	80	17	1	2	4	3	3				12/4/2025 3:52:36 AM		12/12/2025 3:53:43 AM	1	اسعاركو عاليه	اسعاركو عاليه				-1	aly	12/12/2025 3:52:36 AM	admin	12/12/2025 3:53:43 AM
18	74	17	1	1	5	1					12/4/2025 8:20:36 PM	12/5/2025				what is the consulatation process like?				-1	aly	12/10/2025 8:20:36 PM		
41	95	17	1	4	4	2					12/5/2025		12/14/2025 8:57:25 AM	8	لا شكرا مش محتاج حاجة	لا شكرا مش محتاج حاجة				-1	aly	12/14/2025 3:42:02 AM	admin	12/14/2025 8:57:25 AM
43	97	17	1	1	4	2					12/5/2025 10:42:47 AM		12/6/2025 10:46:10 AM	9	انا فى الرحاب انتو مش مناسبين معايا وقفل	انا فى الرحاب انتو مش مناسبين معايا وقفل	مريم			-1	aly	12/5/2025 10:42:47 AM	aly	12/6/2025 10:46:10 AM
44	98	17	1	2	4	2					12/6/2025		12/14/2025 11:18:10 AM	7	شكرا انا لاغيت موضوع الشراء خلاص	شكرا انا لاغيت موضوع الشراء خلاص	مريم			-1	aly	12/14/2025 11:17:13 AM	aly	12/14/2025 11:18:10 AM
45	99	17	1	1	5	2					12/6/2025		12/14/2025 11:29:00 AM	7	كنسل	كنسل	مريم			-1	aly	12/14/2025 11:27:55 AM	aly	12/14/2025 11:29:00 AM
46	100	17	1	1	1	2					12/6/2025	12/10/2025	12/14/2025 11:33:05 AM			الرقم مغلق	مريم			-1	aly	12/14/2025 11:32:08 AM	aly	12/14/2025 11:33:05 AM
47	101	17	1	2	1	2	1				12/6/2025	12/10/2025	12/14/2025 11:35:24 AM			لم يتم الرد	مريم			-1	aly	12/14/2025 11:34:37 AM	aly	12/14/2025 11:35:24 AM
48	102	17	1	1	1	2					12/6/2025	12/10/2025	12/14/2025 11:39:09 AM			سو يتم عمله رسمه اولا وارسالها الى العميل				-1	aly	12/14/2025 11:37:45 AM	aly	12/14/2025 11:39:09 AM
49	103	17	1	1	1	2	7	غرفة أطفال customiz			12/6/2025	12/10/2025	12/14/2025 11:42:01 AM			ف انتظار رد العميله				-1	aly	12/14/2025 11:41:05 AM	aly	12/14/2025 11:42:01 AM
50	104	17	1	1	4	2					12/6/2025		12/14/2025 11:48:38 AM	1	اسعاركو غاليه اووى	اسعاركو غاليه اووى	مريم			-1	aly	12/14/2025 11:47:48 AM	aly	12/14/2025 11:48:38 AM
51	105	17	1	1	4	2					12/6/2025		12/15/2025 2:05:08 AM	1	شكرا اسعاركو مش مناسبه معايا	شكرا اسعاركو مش مناسبه معايا	مريم			-1	aly	12/15/2025 2:04:07 AM	aly	12/15/2025 2:05:08 AM
52	106	17	1	1	4	2					12/6/2025		12/15/2025 2:08:32 AM	1	شكرا الاسعار مش مناسبه معايا	شكرا الاسعار مش مناسبه معايا	مريم			-1	aly	12/15/2025 2:07:37 AM	aly	12/15/2025 2:08:32 AM
53	107	17	1	2	1	2	1	غرف النوم			12/6/2025	12/10/2025	12/15/2025 2:23:23 AM			لم يتم الرد	مريم			-1	aly	12/15/2025 2:22:22 AM	aly	12/15/2025 2:23:23 AM
54	108	17	1	2	1	1	2	سفرة فيرونا			12/6/2025	12/7/2025				سفرة فيرونا				-1	aly	12/15/2025 2:28:20 AM		
8	63	8	5	4	1	1	3	انتريهات			12/6/2025 12:05:10 PM	12/7/2025				انتريهات				-1	maya	12/6/2025 12:05:10 PM		
9	64	8	5	2	1	1	4	سعر ركنة customization			12/6/2025 12:36:00 PM	12/7/2025								-1	maya	12/6/2025 12:36:00 PM		
181	245	29	1	1	2	1	3	انتريه ivory			12/8/2025	12/10/2025	12/29/2025 10:57:01 AM			العميله مهتمه وخدت رقم ابنها عشان هو اللى هيشترى وبعتنا التفاصيل واتساب	العميله مهتمه وخدت رقم ابنها عشان هو اللى هيشترى وبعتنا التفاصيل واتساب			-1	aly	12/8/2025 10:50:36 AM	admin	12/29/2025 10:57:01 AM
10	65	8	5	4	1	1	9	 الاسعار			12/9/2025 1:01:30 PM	12/7/2025				تسال عن Range الاسعار				-1	admin	12/9/2025 1:01:30 PM		
11	66	8	2	1	1	1					12/9/2025 1:04:48 PM	12/7/2025				المكان فين	تسال عن المكان			-1	admin	12/9/2025 1:04:48 PM		
12	67	8	5	2	1	1	4	ركنة خضراء			12/9/2025 1:06:55 PM	12/7/2025				ركنة خضراء تسليم السعودية		49		-1	admin	12/9/2025 1:06:55 PM	aly	12/11/2025 11:41:46 PM
13	68	8	2	2	1	1					12/9/2025 1:08:48 PM	12/8/2025				تسال عن المكان				-1	admin	12/9/2025 1:08:48 PM		
14	69	22	5	2	1	1	3	ريسيبشن			12/9/2025 1:27:20 PM	12/8/2025				ريسيبشن				-1	admin	12/9/2025 1:27:20 PM		
15	71	8	5	4	1	1					12/10/2025 8:15:42 PM	12/8/2025				التقسيط والكتالوج				-1	admin	12/10/2025 8:15:42 PM		
16	72	8	5	2	1	1					12/10/2025 8:17:05 PM	12/8/2025				lacost		50		-1	admin	12/10/2025 8:17:05 PM	aly	12/12/2025 12:12:55 AM
17	73	8	1	2	1	1					12/10/2025 8:19:01 PM	12/8/2025				المكان فين				-1	admin	12/10/2025 8:19:01 PM		
55	109	8	2	5	1	1					12/14/2025	12/15/2025				فين (المكان)				-1	maya	12/15/2025 2:37:18 AM		
56	110	8	2	5	1	1	2	سفرة wave			12/14/2025	12/15/2025				wave				-1	maya	12/15/2025 2:39:12 AM		
57	111	8	5	2	1	1					12/14/2025	12/15/2025				replay				-1	maya	12/15/2025 3:01:32 AM		
58	112	21	2	4	1	3	5	مطبخ			12/14/2025	12/16/2025				تم الارسال للعميل و تم ارسال اشكال للمطبخ و فى انتظار رد العميل لعمل معاينة				-1	mmagdy	12/15/2025 3:05:12 AM		
59	113	21	2	4	1	3					12/14/2025	12/16/2025				سؤال عن الاسعار - تم الارسال للعميل و تم شرح التفاصيل				-1	mmagdy	12/15/2025 3:09:26 AM		
60	114	21	2	4	1	1					12/14/2025	12/16/2025								-1	mmagdy	12/15/2025 3:44:19 AM		
61	115	21	2	1	2	3					12/14/2025	12/16/2025	12/15/2025 3:58:37 AM			ستاتى لزيارة الفرع قريب				-1	mmagdy	12/15/2025 3:57:27 AM	mmagdy	12/15/2025 3:58:37 AM
62	116	21	2	4	1	3					12/14/2025	12/16/2025				سؤال عن الاسعار				-1	mmagdy	12/15/2025 4:02:47 AM		
63	117	21	1	4	2	2	7	غرف بناتى سرير واحد			12/14/2025	12/16/2025	12/15/2025 4:11:15 AM			تم ارسال 2دى من العميل لتصميم الغرفة بالمقاسات				-1	mmagdy	12/15/2025 4:10:15 AM	mmagdy	12/15/2025 4:11:15 AM
64	118	21	2	4	1	3	4	ركنة بسرير وسحارة			12/14/2025	12/16/2025	12/15/2025 4:18:07 AM			تم الارسال على الواتس الكتالوج و صورة الركنة				-1	mmagdy	12/15/2025 4:15:49 AM	mmagdy	12/15/2025 4:18:07 AM
65	119	21	2	4	1	1	1	غرفة شبابى سرير واحد			12/14/2025	12/16/2025	12/15/2025 4:24:29 AM			تم الارسال لعمل الكوتيشن				-1	mmagdy	12/15/2025 4:22:38 AM	mmagdy	12/15/2025 4:24:29 AM
66	120	21	2	4	4	3					12/14/2025		12/15/2025 4:30:36 AM	1	الاسعار عاليه عليها	الاسعار عاليه عليها				-1	mmagdy	12/15/2025 4:29:38 AM	mmagdy	12/15/2025 4:30:36 AM
67	121	21	2	4	1	3					12/14/2025	12/16/2025	12/15/2025 5:20:09 AM			تم الارسال على الواتس الكتالوجات				-1	mmagdy	12/15/2025 5:19:27 AM	mmagdy	12/15/2025 5:20:09 AM
68	122	21	4	1	1	1					12/14/2025	12/16/2025				كتالوجات - العميل عجبة الموديلات و الفنيش بس مستغلى الاسعار				-1	mmagdy	12/15/2025 5:46:54 AM		
69	123	21	2	4	1	3					12/14/2025	12/16/2025	12/15/2025 5:50:52 AM			 تم الارسال للعميل و تم شرح التفاصيل و فى انتظار رد العميل				-1	mmagdy	12/15/2025 5:49:56 AM	mmagdy	12/15/2025 5:50:52 AM
29	84	17	1	2	1	1					12/14/2025 2:11:29 AM	12/6/2025	12/14/2025 2:12:36 AM			الرقم مغلق	مريم			-1	aly	12/14/2025 2:11:29 AM	aly	12/14/2025 2:12:36 AM
31	86	17	1	2	1	2					12/14/2025 2:24:50 AM	12/6/2025	12/14/2025 2:26:16 AM			لم يتم الرد	مريم			-1	aly	12/14/2025 2:24:50 AM	aly	12/14/2025 2:26:16 AM
32	87	17	1	2	1	2	3				12/14/2025 2:29:30 AM	12/6/2025	12/14/2025 2:30:30 AM			الرقم مغلق	مريم			-1	aly	12/14/2025 2:29:30 AM	aly	12/14/2025 2:30:30 AM
33	88	17	1	2	4	2	1	customization			12/14/2025 2:32:48 AM		12/14/2025 2:34:17 AM	1		الاسعار مش مناسبه معايا	مريم			-1	aly	12/14/2025 2:32:48 AM	aly	12/14/2025 2:34:17 AM
35	90	17	1	2	1	2	2	سفرة لوتس			12/14/2025 3:00:09 AM	12/6/2025	12/14/2025 3:01:00 AM			لم يتم الرد				-1	aly	12/14/2025 3:00:09 AM	aly	12/14/2025 3:01:00 AM
37	92	17	1	2	1	2					12/14/2025 3:06:47 AM	12/7/2025	12/14/2025 3:07:42 AM			لم يتم الرد				-1	aly	12/14/2025 3:06:47 AM	aly	12/14/2025 3:07:42 AM
38	93	17	1	2	1	2					12/14/2025 3:12:53 AM	12/15/2025	12/14/2025 3:13:55 AM			ابنها مسافر ولما ينزل هشوف وممكن يزرونا	مريم			-1	aly	12/14/2025 3:12:53 AM	aly	12/14/2025 3:13:55 AM
